Stock quote and option quote for AIG on 9/1/19 18:03:02

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
52.04,N,-.42,51.70,P,52.25,P,5 x 5,"4,565,049",52.88,52.88,51.80

UNDERLYING EXTRA INFO
Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,FastBeta
2.46%,-650.5,.32,Q,9/16/19,57.585,36.16,"869,908,300",0.82

Theo parameters
Theo date,Theo stock price,Theo volatility
9/1/19, 0.00$, 0.00%

6 SEP 19  (5)  100 (Weeklys)
,,Option Code,Volume,Open.Int,Delta,Gamma,Theta,Vega,Rho,Impl Vol,Theo Price,ROC,ROR,Prob.ITM,Prob.Touch,Prob.OTM,Cov Return,Max Cov Return,Mark,Size,BS,AS,%Change,Last,LAST,LX,Open,High,Low,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Delta,Gamma,Theta,Vega,Rho,Impl Vol,Theo Price,ROC,ROR,Prob.ITM,Prob.Touch,Prob.OTM,Cov Return,Max Cov Return,Mark,Size,BS,AS,%Change,Last,LAST,LX,Open,High,Low,,
,,AIG190913C58,0,688,.115,.043,-.034,.019,.002,46.27%,.24535944,<empty>,<empty>,9.89%,20.23%,90.11%,13.23%,335.00%,.245,0 x 741,0,741,0.00%,.04,.04,C,0,0,0,0,W,.49,X,13 SEP 19,58,5.65,B,6.20,B,AIG190913P58,0,0,-1.000,.00,.00,.043,.00,--,<empty>,56.93%,11.38%,100.00%,0.00%,0.00%,-1.89%,<empty>,5.925,36 x 36,36,36,<empty>,0,0, ,0,0,0,,
,,AIG190913C59,0,2,.036,.022,-.011,.008,.001,36.37%,.05001872,<empty>,<empty>,3.10%,6.29%,96.90%,2.70%,378.46%,.050,0 x 1,0,1,0.00%,.04,.04,C,0,0,0,0,N,.10,N,13 SEP 19,59,6.70,B,7.20,X,AIG190913P59,0,0,-1.000,.00,.00,.036,.00,--,<empty>,66.78%,13.35%,100.00%,0.00%,0.00%,-0.54%,<empty>,6.950,36 x 64,36,64,<empty>,0,0, ,0,0,0,,
,,AIG190913C60,0,0,.033,.019,-.012,.007,.001,40.28%,.05001016,<empty>,<empty>,2.79%,5.66%,97.21%,2.70%,432.45%,.050,0 x 1,0,1,<empty>,0,0, ,0,0,0,0,N,.10,N,13 SEP 19,60,7.45,B,8.45,M,AIG190913P60,0,0,-1.000,.00,.00,.028,.00,--,<empty>,76.38%,15.27%,100.00%,0.00%,0.00%,-0.54%,<empty>,7.950,36 x 65,36,65,<empty>,0,0, ,0,0,0,,
,,AIG190913C61,0,1,.061,.023,-.024,.012,.001,52.70%,.13008912,<empty>,<empty>,4.95%,10.13%,95.05%,7.02%,490.75%,.130,0 x 213,0,213,0.00%,.17,.17,N,0,0,0,0,N,.26,X,13 SEP 19,61,8.70,B,9.40,B,AIG190913P61,0,0,-.953,.020,-.019,.010,-.020,48.74%,9.05,86.95%,17.42%,96.21%,7.74%,3.79%,4.86%,<empty>,9.050,36 x 36,36,36,<empty>,0,0, ,0,0,0,,
,,AIG190913C62,0,0,.057,.020,-.025,.011,.001,56.83%,.13003477,<empty>,<empty>,4.57%,9.35%,95.43%,7.02%,544.74%,.130,0 x 230,0,230,<empty>,0,0, ,0,0,0,0,W,.26,M,13 SEP 19,62,8.60,B,10.45,B,AIG190913P62,0,0,-1.000,.00,.00,.014,.00,--,<empty>,91.52%,18.15%,100.00%,0.00%,0.00%,-23.48%,<empty>,9.525,36 x 36,36,36,<empty>,0,0, ,0,0,0,,
,,AIG190913C63,0,0,.054,.018,-.026,.011,.001,60.87%,.13039198,<empty>,<empty>,4.24%,8.70%,95.76%,7.02%,598.73%,.130,0 x 224,0,224,<empty>,0,0, ,0,0,0,0,C,.26,M,13 SEP 19,63,10.45,B,11.45,M,AIG190913P63,0,0,-1.000,.00,.00,.007,.00,--,<empty>,105.21%,21.04%,100.00%,0.00%,0.00%,-0.54%,<empty>,10.950,36 x 58,36,58,<empty>,0,0, ,0,0,0,,
,,AIG190913C65,0,0,.049,.015,-.027,.010,.001,68.53%,.13026839,<empty>,<empty>,3.71%,7.62%,96.29%,7.02%,706.71%,.130,0 x 218,0,218,<empty>,0,0, ,0,0,0,0,C,.26,M,13 SEP 19,65,12.30,B,13.40,A,AIG190913P65,0,0,-1.000,.00,.00,.00,.00,--,<empty>,123.46%,24.64%,100.00%,0.00%,0.00%,-5.94%,<empty>,12.850,36 x 90,36,90,<empty>,0,0, ,0,0,0,,

20 SEP 19  (19)  100
,,Option Code,Volume,Open.Int,Delta,Gamma,Theta,Vega,Rho,Impl Vol,Theo Price,ROC,ROR,Prob.ITM,Prob.Touch,Prob.OTM,Cov Return,Max Cov Return,Mark,Size,BS,AS,%Change,Last,LAST,LX,Open,High,Low,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Delta,Gamma,Theta,Vega,Rho,Impl Vol,Theo Price,ROC,ROR,Prob.ITM,Prob.Touch,Prob.OTM,Cov Return,Max Cov Return,Mark,Size,BS,AS,%Change,Last,LAST,LX,Open,High,Low,,
,,AIG190920C40,0,0,1.000,.00,.00,.00,.00,--,<empty>,<empty>,<empty>,100.00%,<empty>,0.00%,-10.18%,0.00%,11.750,36 x 92,36,92,<empty>,0,0, ,0,0,0,11.05,B,12.45,M,20 SEP 19,40,0,N,.26,X,AIG190920P40,0,50,-.038,.010,-.017,.010,-.001,66.25%,.13023298,3.25%,0.33%,5.28%,10.23%,94.72%,4.56%,<empty>,.130,0 x 168,0,168,0.00%,.08,.08,C,0,0,0,,
,,AIG190920C45,0,8,.932,.013,-.014,.014,.008,38.89%,7.10,<empty>,<empty>,93.93%,11.89%,6.07%,2.11%,2.11%,7.100,36 x 29,36,29,0.00%,10.73,10.73,I,0,0,0,6.90,B,7.30,A,20 SEP 19,45,.08,X,.12,X,AIG190920P45,0,428,-.049,.022,-.012,.012,-.001,38.62%,.10016681,2.22%,0.22%,5.94%,11.63%,94.06%,3.51%,<empty>,.100,100 x 421,100,421,0.00%,.13,.13,C,0,0,0,,
,,AIG190920C47,0,2,.907,.034,-.015,.019,.013,32.55%,5.18,<empty>,<empty>,90.25%,19.13%,9.75%,4.74%,4.74%,5.175,36 x 98,36,98,0.00%,5.70,5.70,Q,0,0,0,4.95,B,5.40,A,20 SEP 19,47,.15,X,.21,X,AIG190920P47,0,30,-.091,.040,-.017,.020,-.003,33.62%,.18000174,3.35%,0.38%,10.52%,20.63%,89.48%,6.32%,<empty>,.180,312 x 253,312,253,0.00%,.15,.15,E,0,0,0,,
,,AIG190920C48,10,1,.868,.052,-.020,.026,.016,31.42%,4.28,<empty>,<empty>,85.51%,28.39%,14.49%,8.25%,8.25%,4.275,71 x 562,71,562,-6.12%,4.45,4.45,E,4.45,4.45,4.45,4.15,X,4.40,X,20 SEP 19,48,.24,X,.31,X,AIG190920P48,0,0,-.134,.055,-.021,.026,-.004,32.24%,.2750912,4.32%,0.58%,15.15%,29.67%,84.85%,9.65%,<empty>,.275,158 x 387,158,387,<empty>,0,0, ,0,0,0,,
,,AIG190920C49,0,0,.819,.073,-.022,.032,.017,28.90%,3.38,<empty>,<empty>,80.31%,38.59%,19.69%,11.76%,11.76%,3.375,22 x 632,22,632,<empty>,0,0, ,0,0,0,3.25,Q,3.50,X,20 SEP 19,49,.35,X,.42,N,AIG190920P49,1,10,-.186,.073,-.024,.033,-.006,29.95%,.38505541,5.23%,0.79%,20.61%,40.35%,79.39%,13.51%,<empty>,.385,333 x 16,333,16,-7.32%,.38,.38,C,.38,.38,.38,,
,,AIG190920C50,0,400,.743,.097,-.026,.039,.017,27.19%,2.55,<empty>,<empty>,72.34%,54.15%,27.66%,17.90%,17.90%,2.550,56 x 611,56,611,0.00%,3.08,3.08,N,0,0,0,2.46,H,2.64,X,20 SEP 19,50,.56,Z,.63,H,AIG190920P50,164,"1,021",-.267,.093,-.029,.040,-.008,28.96%,.59527197,7.11%,1.20%,29.03%,56.75%,70.97%,20.88%,<empty>,.595,140 x 11,140,11,+3.45%,.60,.60,N,.55,.66,.53,,
,,AIG190920C51,0,3,.647,.126,-.027,.045,.016,24.26%,1.75,<empty>,<empty>,62.65%,73.06%,37.35%,24.92%,24.92%,1.750,408 x 94,408,94,0.00%,2.32,2.32,C,0,0,0,1.66,X,1.84,X,20 SEP 19,51,.84,X,.93,H,AIG190920P51,12,43,-.367,.111,-.032,.046,-.011,27.81%,.88500767,9.45%,1.77%,39.21%,76.49%,60.79%,31.06%,<empty>,.885,217 x 11,217,11,+31.08%,.97,.97,X,.79,.97,.79,,
,,AIG190920C52,94,0,.514,.137,-.028,.048,.013,23.94%,1.17,<empty>,<empty>,49.25%,98.95%,50.75%,39.83%,39.83%,1.175,11 x 80,11,80,<empty>,1.09,1.09,Q,1.20,1.21,1.08,1.12,H,1.23,H,20 SEP 19,52,1.27,X,1.37,Z,AIG190920P52,16,47,-.483,.119,-.033,.048,-.014,27.49%,1.32,12.73%,2.60%,50.96%,99.09%,49.04%,46.32%,<empty>,1.320,109 x 9,109,9,+21.15%,1.26,1.26,N,1.18,1.26,1.15,,
,,AIG190920C52.5,68,143,.445,.138,-.028,.048,.012,23.52%,.92544527,<empty>,<empty>,42.39%,86.84%,57.61%,32.46%,48.60%,.925,19 x 319,19,319,-37.04%,.85,.85,Q,1.00,1.00,.84,.87,B,.98,X,20 SEP 19,52.5,1.51,C,1.62,C,AIG190920P52.5,38,"2,215",-.544,.120,-.032,.048,-.016,27.00%,1.57,15.04%,3.07%,56.94%,88.48%,43.06%,38.78%,<empty>,1.565,213 x 1,213,1,+27.05%,1.55,1.55,X,1.52,1.72,1.50,,
,,AIG190920C53,59,31,.377,.134,-.026,.046,.010,23.30%,.72001693,<empty>,<empty>,35.67%,72.95%,64.33%,25.27%,58.96%,.720,9 x 38,9,38,-28.00%,.72,.72,Q,.77,.77,.72,.68,Z,.76,B,20 SEP 19,53,1.77,X,1.94,B,AIG190920P53,4,48,-.603,.118,-.031,.047,-.018,26.80%,1.86,17.82%,3.63%,62.81%,76.27%,37.19%,31.41%,<empty>,1.855,323 x 12,323,12,-1.21%,1.63,1.63,Q,1.63,1.63,1.63,,
,,AIG190920C54,63,"3,079",.249,.115,-.022,.039,.007,22.67%,.40000991,<empty>,<empty>,23.32%,47.52%,76.68%,14.04%,82.82%,.400,199 x 17,199,17,-16.07%,.47,.47,N,.48,.48,.43,.36,X,.44,B,20 SEP 19,54,2.34,X,2.69,X,AIG190920P54,2,92,-.716,.106,-.027,.041,-.022,26.28%,2.52,24.16%,4.88%,73.76%,53.63%,26.24%,19.48%,<empty>,2.515,323 x 312,323,312,+17.16%,2.39,2.39,X,2.34,2.39,2.34,,
,,AIG190920C55,32,"3,047",.151,.086,-.016,.029,.004,22.48%,.21009178,<empty>,<empty>,13.95%,28.35%,86.05%,7.37%,111.24%,.210,149 x 5,149,5,-43.75%,.18,.18,W,.31,.31,.18,.19,Z,.23,Z,20 SEP 19,55,3.25,X,3.50,C,AIG190920P55,4,792,-.787,.083,-.025,.035,-.024,28.54%,3.38,32.43%,6.54%,80.66%,39.50%,19.34%,14.56%,<empty>,3.375,288 x 137,288,137,+16.12%,3.53,3.53,E,3.23,3.53,3.23,,
,,AIG190920C56,0,226,.090,.058,-.011,.020,.003,23.05%,.11525154,<empty>,<empty>,8.21%,16.65%,91.79%,4.04%,143.00%,.115,202 x 527,202,527,0.00%,.30,.30,N,0,0,0,.08,X,.15,X,20 SEP 19,56,4.20,B,4.40,N,AIG190920P56,0,1,-.831,.065,-.024,.031,-.026,31.47%,4.30,41.31%,8.32%,84.99%,30.67%,15.01%,11.93%,<empty>,4.300,17 x 3,17,3,0.00%,3.60,3.60,Q,0,0,0,,
,,AIG190920C57,2,34,.051,.037,-.008,.013,.001,23.51%,.06030219,<empty>,<empty>,4.58%,9.28%,95.42%,2.11%,176.16%,.060,315 x 293,315,293,+107.14%,.29,.29,H,.29,.29,.29,.03,X,.09,X,20 SEP 19,57,5.10,C,5.40,C,AIG190920P57,0,0,-.861,.052,-.023,.027,-.027,34.48%,5.25,50.44%,10.14%,87.94%,24.66%,12.06%,10.18%,<empty>,5.250,37 x 52,37,52,<empty>,0,0, ,0,0,0,,
,,AIG190920C57.5,13,"1,704",.075,.040,-.013,.017,.002,28.99%,.11500943,<empty>,<empty>,6.57%,13.36%,93.43%,4.04%,195.64%,.115,1 x 491,1,491,+50.00%,.09,.09,C,.22,.22,.09,.05,N,.18,A,20 SEP 19,57.5,5.40,B,6.05,M,AIG190920P57.5,0,185,-.875,.047,-.023,.025,-.028,35.72%,5.73,55.01%,11.06%,89.22%,22.04%,10.78%,9.30%,<empty>,5.725,36 x 68,36,68,0.00%,5.11,5.11,C,0,0,0,,
,,AIG190920C58,0,17,.069,.036,-.013,.016,.002,30.59%,.11038121,<empty>,<empty>,6.01%,12.23%,93.99%,3.86%,213.01%,.110,145 x 660,145,660,0.00%,.05,.05,Z,0,0,0,.02,Z,.20,X,20 SEP 19,58,6.00,B,6.55,X,AIG190920P58,0,0,-.867,.044,-.026,.026,-.028,39.89%,6.28,60.29%,12.13%,88.70%,23.16%,11.30%,11.05%,<empty>,6.275,36 x 84,36,84,<empty>,0,0, ,0,0,0,,
,,AIG190920C59,0,0,.059,.029,-.012,.014,.002,33.55%,.10043992,<empty>,<empty>,5.04%,10.26%,94.96%,3.51%,247.75%,.100,0 x 439,0,439,<empty>,0,0, ,0,0,0,0,D,.20,X,20 SEP 19,59,7.05,W,7.40,B,AIG190920P59,0,0,-.889,.037,-.024,.023,-.029,42.06%,7.23,69.42%,13.95%,90.78%,18.91%,9.22%,9.30%,<empty>,7.225,31 x 36,31,36,<empty>,0,0, ,0,0,0,,
,,AIG190920C60,0,"7,401",.038,.020,-.009,.010,.001,33.55%,.06000016,<empty>,<empty>,3.18%,6.46%,96.82%,2.11%,281.44%,.060,1 x 268,1,268,0.00%,.05,.05,Z,0,0,0,.01,H,.11,X,20 SEP 19,60,8.10,X,8.35,M,AIG190920P60,16,79,-.897,.032,-.025,.022,-.029,46.06%,8.23,79.03%,15.89%,91.57%,17.32%,8.43%,9.30%,<empty>,8.225,105 x 376,105,376,+5.84%,8.15,8.15,Q,7.90,8.15,7.90,,
,,AIG190920C61,0,0,.031,.016,-.008,.008,.001,35.55%,.05000524,<empty>,<empty>,2.53%,5.15%,97.47%,1.75%,316.18%,.050,0 x 1,0,1,<empty>,0,0, ,0,0,0,0,N,.10,N,20 SEP 19,61,9.00,B,9.50,B,AIG190920P61,0,0,-.897,.029,-.028,.022,-.028,51.10%,9.25,88.87%,17.87%,91.78%,16.93%,8.22%,10.18%,<empty>,9.250,36 x 36,36,36,<empty>,0,0, ,0,0,0,,
,,AIG190920C62,0,0,.070,.022,-.020,.016,.002,48.82%,.17503189,<empty>,<empty>,5.57%,11.43%,94.43%,6.14%,355.66%,.175,0 x 151,0,151,<empty>,0,0, ,0,0,0,0,N,.35,Z,20 SEP 19,62,10.05,Q,10.40,B,AIG190920P62,0,0,-.908,.025,-.027,.020,-.028,53.65%,10.23,98.24%,19.75%,92.78%,14.88%,7.22%,9.30%,<empty>,10.225,12 x 36,12,36,<empty>,0,0, ,0,0,0,,
,,AIG190920C62.5,0,31,.044,.017,-.013,.011,.001,44.69%,.09537493,<empty>,<empty>,3.55%,7.25%,96.45%,3.33%,370.40%,.095,0 x 152,0,152,0.00%,.05,.05,C,0,0,0,0,N,.19,Z,20 SEP 19,62.5,10.35,B,10.95,B,AIG190920P62.5,0,0,-.928,.022,-.022,.017,-.028,51.33%,10.65,102.33%,20.54%,94.38%,11.56%,5.62%,6.67%,<empty>,10.650,36 x 36,36,36,<empty>,0,0, ,0,0,0,,
,,AIG190920C63,0,0,.043,.016,-.013,.011,.001,46.20%,.09504467,<empty>,<empty>,3.41%,6.97%,96.59%,3.33%,387.95%,.095,0 x 156,0,156,<empty>,0,0, ,0,0,0,0,N,.19,Z,20 SEP 19,63,10.95,B,11.45,A,AIG190920P63,0,0,-.918,.022,-.026,.018,-.027,55.94%,11.20,107.61%,21.62%,93.67%,13.05%,6.33%,8.42%,<empty>,11.200,36 x 12,36,12,<empty>,0,0, ,0,0,0,,
,,AIG190920C64,0,0,.025,.011,-.008,.007,.001,44.18%,.0500808,<empty>,<empty>,1.99%,4.07%,98.01%,1.75%,421.46%,.050,0 x 2,0,2,<empty>,0,0, ,0,0,0,0,C,.10,C,20 SEP 19,64,11.75,B,12.60,M,AIG190920P64,0,0,-.927,.020,-.025,.017,-.027,57.95%,12.18,116.98%,23.49%,94.47%,11.41%,5.53%,7.54%,<empty>,12.175,36 x 142,36,142,<empty>,0,0, ,0,0,0,,
,,AIG190920C65,0,5,.037,.013,-.013,.010,.001,51.66%,.0900898,<empty>,<empty>,2.86%,5.86%,97.14%,3.16%,457.96%,.090,0 x 157,0,157,0.00%,.10,.10,B,0,0,0,0,W,.18,Z,20 SEP 19,65,12.80,B,13.70,A,AIG190920P65,0,0,-.914,.019,-.031,.019,-.026,65.53%,13.25,127.31%,25.60%,93.68%,13.10%,6.32%,10.18%,<empty>,13.250,36 x 45,36,45,<empty>,0,0, ,0,0,0,,
,,AIG190920C70,0,0,.032,.009,-.015,.009,.001,65.77%,.09509495,<empty>,<empty>,2.25%,4.64%,97.75%,3.33%,633.59%,.095,0 x 155,0,155,<empty>,0,0, ,0,0,0,0,C,.19,Z,20 SEP 19,70,17.90,M,18.60,X,AIG190920P70,0,0,-.927,.014,-.034,.017,-.025,81.45%,18.25,175.35%,35.27%,95.07%,10.28%,4.93%,10.18%,<empty>,18.250,139 x 56,139,56,<empty>,0,0, ,0,0,0,,

27 SEP 19  (26)  100 (Weeklys)
,,Option Code,Volume,Open.Int,Delta,Gamma,Theta,Vega,Rho,Impl Vol,Theo Price,ROC,ROR,Prob.ITM,Prob.Touch,Prob.OTM,Cov Return,Max Cov Return,Mark,Size,BS,AS,%Change,Last,LAST,LX,Open,High,Low,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Delta,Gamma,Theta,Vega,Rho,Impl Vol,Theo Price,ROC,ROR,Prob.ITM,Prob.Touch,Prob.OTM,Cov Return,Max Cov Return,Mark,Size,BS,AS,%Change,Last,LAST,LX,Open,High,Low,,
,,AIG190927C45,0,1,1.000,.00,.00,.00,.00,--,<empty>,<empty>,<empty>,100.00%,<empty>,0.00%,-0.39%,0.00%,7.025,36 x 23,36,23,0.00%,11.38,11.38,I,0,0,0,6.50,B,7.55,Z,27 SEP 19,45,.14,Z,.18,X,AIG190927P45,14,13,-.067,.025,-.013,.018,-.003,36.87%,.16005999,3.56%,0.36%,8.13%,15.88%,91.87%,4.16%,<empty>,.160,80 x 177,80,177,+15.38%,.15,.15,H,.15,.17,.15,,
,,AIG190927C46,0,0,1.000,.00,.00,.00,.00,--,<empty>,<empty>,<empty>,100.00%,<empty>,0.00%,-0.39%,0.00%,6.025,47 x 26,47,26,<empty>,0,0, ,0,0,0,5.60,B,6.45,C,27 SEP 19,46,.18,Z,.25,X,AIG190927P46,0,0,-.090,.033,-.015,.023,-.004,35.02%,.2150454,4.67%,0.47%,10.66%,20.82%,89.34%,5.59%,<empty>,.215,80 x 238,80,238,<empty>,0,0, ,0,0,0,,
,,AIG190927C47,0,0,.881,.039,-.016,.028,.020,32.17%,5.28,<empty>,<empty>,86.80%,25.79%,13.20%,6.11%,6.11%,5.275,52 x 36,52,36,<empty>,0,0, ,0,0,0,4.80,B,5.75,B,27 SEP 19,47,.23,Z,.30,W,AIG190927P47,0,0,-.115,.042,-.017,.027,-.005,32.29%,.26549676,4.94%,0.57%,13.29%,25.97%,86.71%,6.89%,<empty>,.265,101 x 52,101,52,<empty>,0,0, ,0,0,0,,
,,AIG190927C48,0,0,.854,.053,-.016,.032,.022,28.80%,4.33,<empty>,<empty>,83.86%,31.57%,16.14%,7.41%,7.41%,4.325,65 x 416,65,416,<empty>,0,0, ,0,0,0,4.20,X,4.45,X,27 SEP 19,48,.26,X,.39,Z,AIG190927P48,0,0,-.147,.055,-.018,.033,-.006,29.32%,.32536565,5.10%,0.68%,16.61%,32.48%,83.39%,8.45%,<empty>,.325,299 x 16,299,16,<empty>,0,0, ,0,0,0,,
,,AIG190927C49,0,6,.802,.072,-.019,.039,.023,26.95%,3.45,<empty>,<empty>,78.24%,42.54%,21.76%,10.66%,10.66%,3.450,65 x 235,65,235,0.00%,4.05,4.05,Q,0,0,0,3.35,X,3.55,X,27 SEP 19,49,.39,X,.63,Q,AIG190927P49,0,16,-.211,.071,-.022,.041,-.009,28.93%,.5102843,6.92%,1.05%,23.53%,45.91%,76.47%,13.26%,<empty>,.510,228 x 25,228,25,0.00%,.57,.57,Q,0,0,0,,
,,AIG190927C50,0,0,.726,.091,-.022,.047,.023,25.64%,2.65,<empty>,<empty>,70.33%,57.91%,29.67%,15.86%,15.86%,2.650,56 x 212,56,212,<empty>,0,0, ,0,0,0,2.55,I,2.75,X,27 SEP 19,50,.53,X,.85,H,AIG190927P50,15,52,-.281,.088,-.024,.048,-.011,26.92%,.69017217,8.25%,1.40%,30.67%,59.80%,69.33%,17.94%,<empty>,.690,280 x 21,280,21,+15.15%,.76,.76,I,.68,.76,.68,,
,,AIG190927C51,0,0,.632,.112,-.023,.053,.021,23.79%,1.90,<empty>,<empty>,60.82%,76.37%,39.18%,22.36%,22.36%,1.900,187 x 16,187,16,<empty>,0,0, ,0,0,0,1.79,X,2.01,Q,27 SEP 19,51,.96,Z,1.15,Q,AIG190927P51,47,65,-.379,.099,-.027,.054,-.015,27.09%,1.06,11.26%,2.11%,40.80%,79.28%,59.20%,27.42%,<empty>,1.055,165 x 9,165,9,+85.48%,1.15,1.15,Q,1.16,1.16,1.15,,
,,AIG190927C52,0,0,.515,.120,-.024,.056,.018,23.58%,1.34,<empty>,<empty>,48.99%,99.09%,51.01%,33.79%,33.79%,1.340,11 x 15,11,15,<empty>,0,0, ,0,0,0,1.27,H,1.41,B,27 SEP 19,52,1.41,C,1.56,N,AIG190927P52,4,77,-.482,.106,-.028,.056,-.020,26.56%,1.48,14.32%,2.94%,51.20%,99.19%,48.80%,38.60%,<empty>,1.485,94 x 9,94,9,+13.77%,1.57,1.57,Q,1.57,1.57,1.57,,
,,AIG190927C53,383,39,.388,.124,-.021,.054,.014,21.85%,.81501008,<empty>,<empty>,36.57%,75.00%,63.43%,21.19%,46.14%,.815,379 x 14,379,14,-23.21%,.86,.86,Z,1.03,1.03,.78,.71,X,.92,B,27 SEP 19,53,1.94,C,2.15,Z,AIG190927P53,2,110,-.587,.104,-.027,.055,-.024,26.50%,2.05,19.65%,4.01%,61.58%,79.14%,38.42%,28.20%,<empty>,2.045,142 x 15,142,15,+22.50%,1.96,1.96,B,1.73,1.96,1.73,,
,,AIG190927C54,198,32,.280,.106,-.019,.048,.010,22.46%,.53539041,<empty>,<empty>,26.06%,53.30%,73.94%,13.91%,64.86%,.535,404 x 926,404,926,-36.25%,.51,.51,N,.58,.58,.51,.40,X,.67,X,27 SEP 19,54,2.30,H,2.82,H,AIG190927P54,0,15,-.708,.103,-.021,.048,-.029,23.51%,2.56,24.60%,4.98%,73.10%,55.08%,26.90%,15.60%,<empty>,2.560,41 x 11,41,11,0.00%,2.26,2.26,P,0,0,0,,
,,AIG190927C55,11,23,.187,.085,-.016,.038,.007,22.31%,.31508104,<empty>,<empty>,17.16%,35.01%,82.84%,8.19%,85.13%,.315,16 x 294,16,294,-41.18%,.30,.30,N,.30,.30,.30,.28,C,.35,X,27 SEP 19,55,3.35,X,3.60,M,AIG190927P55,1,3,-.764,.080,-.022,.043,-.032,26.89%,3.48,33.39%,6.74%,78.76%,43.52%,21.24%,13.39%,<empty>,3.475,156 x 246,156,246,+108.82%,3.55,3.55,B,3.55,3.55,3.55,,
,,AIG190927C56,0,68,.102,.060,-.010,.025,.004,20.89%,.14018106,<empty>,<empty>,9.25%,18.80%,90.75%,3.64%,106.58%,.140,449 x 102,449,102,0.00%,.40,.40,Q,0,0,0,.08,X,.20,X,27 SEP 19,56,4.00,X,4.50,X,AIG190927P56,0,13,-.846,.065,-.016,.033,-.036,25.58%,4.25,40.83%,8.21%,86.31%,27.95%,13.69%,7.54%,<empty>,4.250,248 x 330,248,330,0.00%,1.69,1.69,Q,0,0,0,,
,,AIG190927C57,0,288,.077,.044,-.009,.021,.003,23.08%,.11041119,<empty>,<empty>,6.84%,13.92%,93.16%,2.86%,131.79%,.110,80 x 68,80,68,0.00%,.40,.40,Z,0,0,0,.09,Z,.13,M,27 SEP 19,57,5.00,H,5.50,H,AIG190927P57,0,10,-.862,.052,-.017,.031,-.037,29.61%,5.25,50.44%,10.14%,88.01%,24.53%,11.99%,7.54%,<empty>,5.250,70 x 127,70,127,0.00%,3.35,3.35,Q,0,0,0,,
,,AIG190927C58,0,16,.107,.042,-.015,.026,.004,31.22%,.22032452,<empty>,<empty>,9.28%,18.97%,90.72%,5.72%,160.65%,.220,0 x 310,0,310,0.00%,.45,.45,N,0,0,0,0,W,.44,X,27 SEP 19,58,5.30,B,6.65,M,AIG190927P58,0,0,-.990,.010,-.001,.003,-.042,16.56%,5.98,57.41%,11.48%,99.26%,1.49%,0.74%,0.39%,<empty>,5.975,36 x 183,36,183,<empty>,0,0, ,0,0,0,,
,,AIG190927C59,0,15,.107,.036,-.017,.026,.004,35.86%,.25004695,<empty>,<empty>,9.02%,18.49%,90.98%,6.50%,187.42%,.250,0 x 280,0,280,0.00%,.66,.66,Z,0,0,0,0,W,.50,X,27 SEP 19,59,6.45,B,7.65,M,AIG190927P59,0,0,-.947,.027,-.008,.015,-.041,27.77%,7.05,67.74%,13.57%,95.59%,8.98%,4.41%,2.34%,<empty>,7.050,36 x 246,36,246,<empty>,0,0, ,0,0,0,,
,,AIG190927C60,0,0,.099,.031,-.018,.025,.004,39.24%,.25003659,<empty>,<empty>,8.22%,16.88%,91.78%,6.50%,213.41%,.250,0 x 286,0,286,<empty>,0,0, ,0,0,0,0,W,.50,X,27 SEP 19,60,7.65,B,8.65,M,AIG190927P60,0,0,-.917,.029,-.015,.021,-.039,36.39%,8.15,78.31%,15.72%,93.21%,13.91%,6.79%,4.94%,<empty>,8.150,36 x 155,36,155,<empty>,0,0, ,0,0,0,,
,,AIG190927C61,0,0,.033,.017,-.006,.010,.001,31.11%,.05500404,<empty>,<empty>,2.71%,5.53%,97.29%,1.43%,234.34%,.055,0 x 1,0,1,<empty>,0,0, ,0,0,0,0,N,.11,N,27 SEP 19,61,8.75,B,9.60,A,AIG190927P61,0,0,-.915,.027,-.017,.022,-.039,40.76%,9.18,88.15%,17.70%,93.22%,13.93%,6.78%,5.59%,<empty>,9.175,36 x 124,36,124,<empty>,0,0, ,0,0,0,,
,,AIG190927C65,0,0,.076,.019,-.021,.020,.003,54.52%,.25039945,<empty>,<empty>,5.75%,11.89%,94.25%,6.50%,343.39%,.250,0 x 116,0,116,<empty>,0,0, ,0,0,0,0,W,.50,Z,27 SEP 19,65,12.20,B,13.60,C,AIG190927P65,0,0,-1.000,.00,.00,.00,.00,--,<empty>,123.94%,24.76%,100.00%,0.00%,0.00%,-1.56%,<empty>,12.900,36 x 41,36,41,<empty>,0,0, ,0,0,0,,

4 OCT 19  (33)  100 (Weeklys)
